ID,STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
290,42,3,241200,42003241200,878,551,P,683275,683275,42,3,241200,42003241200,884,552,P,682292,682292,657490,657490,96.23,96.23,96.36,96.36,870,99.09,98.42,547,99.27,99.09
583,42,3,428200,42003428200,2101,948,P,4345722,4345722,42,3,241200,42003241200,884,552,P,682292,682292,24802,24802,0.57,0.57,3.64,3.64,14,0.67,1.58,5,0.53,0.91
295,42,3,250300,42003250300,1090,695,P,247728,247728,42,3,250300,42003250300,1090,695,W,243738,243738,243738,243738,98.39,98.39,100,100,1090,100,100,695,100,100
274,42,3,210700,42003210700,2095,1293,P,709730,709730,42,3,250700,42003250700,761,393,P,560320,560320,2717,2717,0.38,0.38,0.48,0.48,0,0,0,0,0,0
297,42,3,250700,42003250700,763,394,P,556316,556316,42,3,250700,42003250700,761,393,P,560320,560320,554650,554650,99.7,99.7,98.99,98.99,761,99.74,100,393,99.75,100
325,42,3,270400,42003270400,2874,551,P,2704894,1850025,42,3,250700,42003250700,761,393,P,560320,560320,2953,2953,0.11,0.16,0.53,0.53,0,0,0,0,0,0
299,42,3,250900,42003250900,1323,782,P,651004,651004,42,3,250900,42003250900,1285,760,W,643563,643563,643563,643563,98.86,98.86,100,100,1285,97.13,100,760,97.19,100
301,42,3,260200,42003260200,2347,1121,P,2518743,2511550,42,3,260200,42003260200,2285,1079,P,1438088,1430895,1416162,1408969,56.22,56.1,98.48,98.47,2285,97.36,100,1079,96.25,100
310,42,3,260700,42003260700,1723,822,P,685402,685402,42,3,260200,42003260200,2285,1079,P,1438088,1430895,20402,20402,2.98,2.98,1.42,1.43,0,0,0,0,0,0
590,42,3,429100,42003429100,2503,1212,P,5808128,5808128,42,3,260200,42003260200,2285,1079,P,1438088,1430895,1524,1524,0.03,0.03,0.11,0.11,0,0,0,0,0,0
